number,type,answer_num,description,answers,pic_path,correct,weight,subject,accesebility 
317,1,8,Укажите  МРР – системы:,"Первые PVP-системы;Серия   IBM RS/2000 SP;Hitachi  SR8000;Транспьютерные МРР-системы Parsytec;МРР-системы серии ASCI;SGI/CRAY T3E, (T3D);МВС-1000M;BLUE GENE;",no,3;4;5;6;7;8;,6,8,0
318,2,6,Какая система изображена на рисунке?,SMP;PVP;NUMA;MPP;SuperDome;МВС;,мрр.bmp,1:0;2:0;3:0;4:100;5:0;6:0;,4,8,0
319,1,5,Укажите особенности архитектуры UMA-систем,"Не поддерживается когерентность кэшей;Все процессоры имеют доступ к любой точке памяти с одинаковой скоростью.;Система состоит из нескольких однородных процессоров;Процессоры подключены к памяти, обычно, с помощью общей шины;Просто программировать;",no,2;3;4;5;,7,7,0
303,1,5,Укажите основные преимущества SMP-систем,"Простота и универсальность для программирования;высокая надёжность SMP-систем в связи с наличием единой (единственной ) памяти;Легкость в эксплуатации;Архитектура SMP накладывает ограничения на модель программирования, используемую при создании приложения;Относительно невысокая цена;",no,1;3;5;,5,7,0
321,1,4,Основные  архитектурные принципы ассоциативных систем,"в составе обычно нет секций ввода-вывода, а также секций обработки команд;данные в основной памяти выбираются по содержимому;операции обработки данных осуществляются последовательно над несколькими элементами;операции обработки данных осуществляются одновременно над несколькими элементами;",no,1;2;4;,5,5,1
305,1,5,Укажите преимущества ассоциативных систем:,Алгоритмы для ассоциативного выполнения арифметических операций оказались громоздкими;Принцип обработки битовых срезов даёт значительный  выигрыш в быстродействии при n>>m;Стоимость АЗУ существенно превышает стоимость обычных схем памяти;Время поиска информации в АВС зависит только от числа разрядов признака;Усложнение структуры ячеек ассоциативной памяти ведет к увеличению ее физических объемов;,no,2;4;,5,5,0
410,1,4,Основные характеристики NUMA-систем?,"фигурирует единое адресное пространство, но каждый процессор имеет локальную память;Доступ процессора к собственной локальной памяти производится напрямую, что намного быстрее, чем доступ к удаленной памяти через коммутатор или сеть;Кэши всех процессоров в совокупности рассматриваются как локальная память системы;большое  число обращений процессора к глобальной памяти;",no,1;2;,6,35,1
324,1,8,В рамках концепции NUMA реализуется несколько различных подходов:,СОМА;CUMA;NCC-NUMA;CC-NUMA;UMA;RM (Reflexive Memory);SC-NUMA;CUDA;,no,1;3;4;6;7;,5,7,0
412,2,3,"Согласно какой технологии каждый узел в системе владеет собственной основной памятью, но с точки зрения процессоров имеет место глобальная адресуемая память, где каждая ячейка любой локальной основной памяти имеет уникальный системный адрес?",СОМА;CC-NUMA (Cache Coherent);UMA;,no,1:0;2:100;3:0;,5,14,1
309,2,5,Какая система изображена на рисунке,NCC -NUMA (Non Cache Coherent   NUMA);CC-NUMA (Cache Coherent);СОМА;RM (Reflexive Memory);MPP;,РМ.bmp,1:0;2:0;3:0;4:100;5:0;,5,7,0
414,1,4,Особенность систем с RM ?,Число строк таблиц трансляции адресов равно числу разделяемых страниц памяти;Модули памяти связаны коммутационной сетью (медным кабелем);Не требуется какого-либо программного обеспечения для сохранения множества копий;Пользователь имеет возможность управлять степенью разделения данных в системе;,no,1;4;,8,14,1
415,1,6,Недостатки Reflexive Memory:,"сложность модификации многих копий страниц из-за  широковещательных передачах пакетов;излишней нагрузкой на коммуникационную среду при многократной модификации одной и той же переменной;невозможность использовать в качестве разделяемых страницы, помещаемые во внутрикристальную кэш-память с обратной записью;существенно более продолжительная длительность модификации всех кэш-страниц требует введения барьерной синхронизации ВМ при записи в глобальные переменные;не требуется какого-либо программного обеспечения для сохранения множества копий обновлённых копий или их передачи;управления использованием таких данных полностью возлагается на программное обеспечение (приложения и компиляторы);",no,1;2;3;4;,10,35,1
329,1,8,"Факторы, снижающие пропускную способность конвейера?",Скалярная обработка;Длина вектора;Реализация условных операторов;Время работы конвейера;Зависимости по данным;Зависимость по управлению;Время инициализации;Межстадийная буферизация;,no,1;2;3;5;6;7;,8,4,0
418,1,5,Особенности вычислений на CPU:,Один поток команд на процессор;Один поток данных на процессор (до четырех при   использовании SSE);Произвольный доступ к памяти;Большое число ветвлений;большое число связей;,no,1;2;3;4;,10,30,1
314,1,5,Особенности вычислений на GPU:,Один поток команд на процессор;Большое число данных на процессор;Линейный доступ к памяти;Малое число ветвлений;Произвольный доступ к памяти;,no,1;2;3;4;,6,24,0
315,4,6,Расположите в правильном порядке операци работы конвейера GPU,Подготовка геометрии;Заполнение текстур данными;Выполнение вершинного шейдера;Растеризация;Выполнение фрагментного (пиксельного) шейдера;Чтение из буфера кадра в основную память;,no,123456,5,30,1
369,1,6,Укажите отличительные особенности CUDА:,"интерфейс программирования приложений CUDA основан на стандартном языке программирования Си с расширениями, что упрощает процесс изучения и внедрения архитектуры CUDA;CUDA обеспечивает доступ к разделяемой между потоками памяти размером в 16 Кб на мультипроцессор;более эффективная передача данных между системной и видеопамятью;необходимость в графических API с избыточностью и накладными расходами;нелинейная адресация памяти;не поддерживаются целочисленные и битовые операции;",no,1;2;3;,10,28,1
317,1,6,Ограничения CUDA:,"отсутствие поддержки рекурсии для выполняемых функций;минимальная ширина блока в 32 потока;закрытая архитектура CUDA, принадлежащая nVIDIA;работает со всеми видеокартами;не работает с целочисленными данными;работает только с ОС Windows;",no,1;2;3;,5,28,0
318,2,6,"Совокупность технических средств, включающих в себя несколько ЭВМ или процессоров, и общесистемного (базового) программного обеспечении - ...",СОД;адаптер;вычислительная система;вычислительный  комплекс;стохастическая сеть;система массового обслуживания;,no,1:0;2:0;3:0;4:100;5:0;6:0;,4,1,0
319,1,6,Какие класы определены в классификации Флинна:,SISD;SIMD;MISD;MIMD;SMIMD;MOSIMD;,no,1;2;3;4;,4,3,0
320,1,7,Вычислительные системы можно классифицировать :,по производительности;по стоимости;по способу управления;по способу синхронизации;по классам решаемых задач;по входящим в состав элементам;по структуре памяти;,no,1;2;3;4;5;7;,5,3,0
338,1,5,Какие классы ВС определены в классификации Фенга :,"Разрядно-последовательные пословно-последовательные  (n=m=1);Разрядно-параллельные пословно-последовательные(n > 1 , m = 1);Разрядно-последовательные пословно-параллельные (n = 1 , m > 1);Разрядно-параллельные пословно-параллельные (n > 1, m > 1);Разрядно-параллельные пословно-параллельные (n < 1, m < 1);",no,1;2;3;4;,14,17,1
452,2,4,Кластеры высокой готовности-...?,High Availability;High Performance;VAX-кластер;Beowulf;,no,1:100;2:0;3:0;4:0;,4,30,1
323,1,6,Кластерные системы делятся на два класса,HA;HP;UMA;NUMA;SMP;MPP;,no,1;2;,4,16,1
324,2,5,"Мультикомпьютерная архитектура, которая может использоваться для высокопроизводительных параллельных вычислений, созданная в CERN. ",High Availability;VAX-кластер;Beowulf;Корпоративная система;SuperDome;,no,1:0;2:0;3:100;4:0;5:0;,5,9,0
456,1,7,Основными компонентами в системе Grid являются:,"Пользователь Grid и приложения (последовательные,   параметрические, параллельные или совместные);Интерфейсное ПО уровня пользователя - высокоуровневые услуги и инструменты;Программные окружения;Импортеры ресурсов;Интерфейсное ПО ядра Grid (распределение ресурсов и объединение распределенных ресурсов);Поставщики ресурсов и услуг Grid;Дополнительное ПО к Grid;",no,1;2;3;5;6;,10,17,1
326,1,6,Среди основных направлений использования GRID на данный момент можно выделить:,"сильносвязанные вычислительные задачи;решение экономических задач;организация эффективного использования ""простаивающих"" ресурсов;распределенные супервычисления, решение очень крупных задач;вычисления с привлечением больших объемов географически распределенных данных;типичные вычисления для малого и среднего бизнеса;",no,3;4;5;,5,9,0
458,3,0,В настоящее время в качестве основных вычислительных узлов Grid выступают ...,кластеры;кластэры;вычислительные кластеры;кластерные системы;,no,0,10,17,1
459,1,8,Какими основными числовыми характеристиками определяется производительность коммуникационных сетей в кластерных системах:,латентность;пропускная способность сети;время загрузки;число заявок в очереди;ширина бискекции;тип канала связи;загрузка сети;число связей;,no,1;2;,10,16,1
329,3,0,Время начальной задержки при организации передачи сообщения в сети - ,латентность;,no,0,6,19,0
330,1,5,Аппаратные способы решения проблемы когерентности:,Запись с обновлением (write update);Запись с ретрансляцией (write broadcast).;Запись в справочник (write notepad);Некэшируемые данные;Запись с аннулированием (write invalidate);,no,1;5;,6,7,0
463,2,3,Для каких целей предназначен интерфейс SCI (Scalable Coherent Interface) ,для достижения невысоких скоростей передачи со средним временем задержки;для достижения высоких скоростей передачи с малым временем задержки;для обеспечения масштабируемости архитектуры;,no,1:0;2:100;3:50;,5,15,1
464,1,5,Достоинства когерентного интерфейса SCI  ,"Для совместимости SCI имеет возможность переносить пакеты других протоколов.;Использование простых протоколов типа СISC, которые обеспечивают большую пропускную способность;Использование простых протоколов типа RISC, которые обеспечивают большую пропускную способность;Данная технология оптимизирована для работы с динамическим трафиком;Протокол передачи данных обеспечивает гарантированную доставку и отсутствие дедлоков;",no,1;3;4;5;,10,26,1
465,1,4,Недостатки когерентного интерфейса SCI  ,Протокол SCI достаточно сложен;содержит большие возможности по управлению трафиком;не предполагает наличия программного обеспечения;предполагает наличие развитого программного обеспечения;,no,1;2;4;,10,26,1
334,1,7,Достоинтства коммуникационной среды MYRINET  ,"Высокая скорость;Малое временя задержки;Прямая коммутация;Пакеты Myrinet могут иметь любую длину;Очень низкая стоимость;Большие возможности по управлению трафиком;Пакеты могут включать в себя другие типы пакетов, включая IP пакеты;",no,1;2;3;4;7;,6,20,0
467,2,3,Для каких целей можно использовать технологию Myrinet,"для объединения компьютеров в кластеры;как системная сеть (System Area Network, SAN);для объединения кластеров в вычислительные сети;",no,1:100;2:80;3:0;,5,26,1
468,1,5,Особенности коммуникационнрй среды Raceway ,"Коммутатор имеет 6 портов, пропускная способность каждого порта составляет 160 Мбайт/с;Порт состоит из 32 сигнальных линий данных и 5 управляющих линий;Коммуникационная среда Raceway принята в качестве стандарта (ANSI/VINA 5-1994);Коммуникационная среда Raceway обеспечивает пропускную способность на уровне 1 Гбайт/с;Структуры ВС, создаваемых при помощи Raceway очень дешевы;",no,1;2;3;4;,12,26,1
469,2,4,Достоинство коммутаторов для многопроцессорных вычислительных систем,малое количество входов и выходов;низкая стоимость;большое число связей;простота управления и высокое быстродействие;,no,1:0;2:0;3:0;4:100;,5,20,1
470,4,6,Расположите в правльном порядке процесс передачи с использованием простых коммутаторов с временным разделением  ,"Передающее устройство сначала получает доступ к шине;Передающее устройство пытается установить контакт с устройством-адресатом;Принимающее устройство распознает свой адрес на шине;Принимающее устройство отвечает на запрос передающего;Передающее устройство сообщает, какие действия должно произвести принимающее устройство в ходе взаимодействия;После этого происходит передача данных;",no,123456,10,30,1
471,3,0,"О каких системах идет речь. Общая идея построения таких систем  чрезвычайно проста - имеется большое количество одинаковых обрабатывающих устройств, в каждый из которых поступают свои данные, но которые одновременно  выполняют  одну  и  ту  же  операцию.",матричные;матричная;,no,0,5,30,1
357,2,4,Какие системы представляют собой синхронные ВС  классического ОКМД типа?,матричные;транспьютеры;систолические;кластеры;,no,1:100;2:0;3:0;4:0;,5,3,0
341,1,6,Контроллер массива процессоров (КМП) выполняет обычно:,операции условного и безусловного перехода;транслирует все команды для МП и передает сигналы управления на процессорные элементы (ПЭ);последовательный программный код;управляет работой узлов МП;матричные операции;осуществляет интерфейс с пользователем;,no,1;2;3;4;,6,5,0
359,1,4,В матричных системах наибольшее распространение получили 2 типа архитектуры организации массива процессоров:,"Память-Память"";Регистр-Регистр;Процессорный элемент– Память;Процессорный элемент– Процессорный элемент;",no,3;4;,5,5,0
360,1,6,Матричные ВС обладают следующими преимуществами:,достигается почти пиковая производительность ВС;легкая настройка на выполняющийся алгоритм;не дорогая сеть связи;размеры структур данных всегда соответствует числу ПЭ в системе;коммутационная связь имеет неограниченные возможности;большое число однотипных обрабатывающих устройств позволяет  использовать СБИС;,no,1;2;6;,6,5,0
344,1,6,Ограничения производительности Матричных ВС обусловлены:,необходимостью одновременного доступа в память для получения данных и сохранения результатов;коммутационная связь имеет ограниченные возможности;размеры структур данных (векторов или матриц) могут не соответствовать числу ПЭ в системе;большим числом ПЭ;командами условной обработки;наличием векторных команд;,no,1;2;3;5;,6,5,0
362,2,7,Первой промышленной системой матричного типа явилась разработанная в СССР  в начале 80-х годов эта система :,ПС–2000;ПС–800;ПС–1000;ПС–3000;БЭСМ-1;БЭСМ-6;Стрела;,no,1:100;2:0;3:0;4:0;5:0;6:0;7:0;,6,5,0
478,3,0,Какая система изображена на рисунке?,матричная;,матричн.bmp,0,6,9,1
364,2,5,"Число процессоров многопроцессорной системы, параллельно участвующих в выполнении программы в каждый момент времени t, определяют понятием   .....",степень параллелизма;загрузка канала;попускная способность;потенциальный параллелизм;коэффициент параллельности;,no,1:100;2:0;3:0;4:0;5:0;,6,17,1
348,2,5,По данной формуле можно определить ....?,Доступные ресурсы;Загрузку системы;Длину очереди;Средний параллелизм;Общий объем вычислительной работы;,средн пар.bmp,1:0;2:0;3:0;4:100;5:0;,5,1,0
482,2,5,По формуле определяется,"Ускорение (speedup);среднее ускорение за счет параллельного выполнения программы;общее число операций (команд), выполненных на n-процессорной системе;время выполнения операций на n-процессорной системе в  виде числа квантов времени;коэффициент загрузки n процессоров;",ср ускор.bmp,1:80;2:100;3:0;4:0;5:0;,5,1,0
403,2,5,Под эффективностью n-процессорной системы обычно понимают - ,"общее число операций (команд), выполненных на n-процессорной системе;время выполнения всех операций на n-процессорной системе;соотношение стоимости n процессоров на производительность ВС;среднее ускорение за счет параллельного выполнения программы;ускорение вычислений, получаемое на один процессор;",no,1:0;2:0;3:0;4:50;5:100;,5,1,0
351,2,5,По данной формуле определяется,избыточность;эффективность;среднее ускорение;ускорение;число параллельных операций;,избыточность.bmp,1:100;2:0;3:0;4:0;5:0;,4,1,0
352,3,0,По данной формуле определяется,эффективность;Эффективность;эффективность ВС;,эффект.bmp,0,6,1,0
370,2,5,По данной формуле определяется,коэффициент полезного использования или утилизации;коэффициент эффетивности;коэффициент надежности;коэффициент избыточности;коэфиициент унификации;,коэф утилиз.bmp,1:100;2:0;3:0;4:0;5:0;,10,17,1
354,1,6,"Факторы, ограничивающие ускорение параллельных систем",Издержки из-за дисбаланса загрузки процессоров;Коммуникационные издержки;программные издержки;избыточность процессоров;Высокая стоимость;Наличие параллельных команд;,no,1;2;3;,6,1,0
372,2,4,"Каждый из процессоров должен быть загружен одинаковым объемом работы, иначе часть процессоров будет ожидать, пока остальные завершат свои операции. Эта ситуация известна как  .....?",дисбаланс загрузки;суперлинейносе ускорение;Коммуникационнаяа издержка;распределение нагрузки;,no,1:100;2:0;3:0;4:0;,5,17,1
356,3,0,Данная формула известна как...,закон Амдала;Закон Амдала;закон амдала;,амдал.bmp,0,6,1,0
412,3,0,Данная формула известна как...,закон Густафсона;Закон Густафсона;закон густафсона;закон густавсона;закон Густавсона;закон Густафсона-Барсиса;,густафсон.bmp,0,7,1,0
375,2,4,Выберите правильную формулировку закона Густафсона,"В первом приближении объем работы, которая может быть произведена параллельно, возрастает линейно с ростом числа процессоров в системе;Объем параллельных вычислений увеличивается с ростом количества процессоров в системе;Ускорение выполнения программы за счет распараллеливания её инструкций на множестве вычислителей ограничено временем, необходимым для выполнения её последовательных инструкций;Коэффициент ускорения ограничен долей последовательных вычислений;",no,1:100;2:80;3:0;4:0;,5,17,1
376,2,4,"....представляет собой  описание  некоторой гипотетической машины, способной реализовать определенный  алгоритмический процесс",Модель вычислений;алгоритм;Алгоритмическая модель;описание ВС;,no,1:100;2:0;3:0;4:0;,6,17,1
360,1,7,Виды графического представления алгоритмов:,Ярусно-параллельная форма;Сеть Петри;Информационный граф;Параллельно-групповой алгоритм;Диаграмма Ганта;Рекурсионные диаграммы;Сеть Густафсона;,no,1;2;3;,6,2,0
361,2,6,Что представлено на рисунке?,Инфрмационный граф;Ярусно-параллельная форма;Сеть Петри;Стохастическая сеть;Циклический граф;Потоковая модель программы;,инф граф.bmp,1:100;2:0;3:0;4:0;5:0;6:0;,5,2,0
418,2,4,Основное достоинство информационного графа,"- Для хранения ИГ в виде некоторой программы, а такжепромежуточных результатов используется память;Позволяет выявить отношения «зависимости» по данным между операторами;Удобное описание способов перехода от одного оператора к другому (порядок выполнения операторов);Представлена совокупность операций устройства обработки ВС;",no,1:0;2:100;3:0;4:0;,4,2,0
380,2,4,В каких системах наиболее эффективно использовать  вызов операнда по значению,систолические системы;транспьютерные системы;матрчные системы;СМО;,no,1:0;2:100;3:0;4:0;,10,16,1
381,2,5,Какая форма графического представления изображена на рисунке,Инфрмационный граф;Ярусно-параллельная форма;Сеть Петри;граф потока данных;схема алгоритма;,ярусно параллельн.bmp,1:0;2:100;3:0;4:0;5:0;,5,2,0
382,3,0,Какая форма графического представления изображена на рисунке,сеть петри;Сеть петри;Сеть Петри;сеть Петри;,сеть петри.bmp,0,5,2,0
366,2,4,Что означает аббревиатура RISC ,Reduced Instruction Set Computer;Recuva Instruction Set Computer;Real Instruction Set Computer;Reduced Inducation Set Computer;,no,1:100;2:0;3:0;4:0;,5,1,0
525,3,0,"Упрощённая схема устройства каких процессоров изображена на рисунке (RISC, CISC, VLIW, EPIC, Itanium)?",CISC;Cisc;,CISC.bmp,0,10,16,1
526,1,8,"Процессоры, основанные на CISC архитектуре",i80486;INTEL PENTIUM (P5) (1993 г.);Intel Pentium Pro;i80490;I80386 (1985 г.);MIPS;T-805;TMS-420;,no,1;2;3;5;,10,30,1
527,2,4,Стандарт EPIC - ...,явный параллелизм на уровне команд;явный параллелизм на уровне данных;явный параллелизм на уровне управления;явный параллелизм на уровне выполнения;,no,1:100;2:0;3:0;4:0;,5,24,1
528,1,5,Возможности EPIC ,"это высокая скорость выполнения операций с плавающей запятой;поддержка распараллеливания задач (практически, подобие технологии SMP);благодаря улучшению считывания данных из памяти, скорость обмена информацией резко возрастает;короткие и быстрые команды;наличие команд управления каналом;",no,1;2;3;,10,24,1
529,1,5,Отличительные особенности архитектуры 64х разрядных процессоров AMD,"Были добавлены режимы совместимости и  64-битные адресные регистры;Для ускорения работы с памятью используется технология NUMA, позволяющая работать напрямую с памятью, минуя системную шину и набор микросхем;Режимы совместимости со старыми платформами;Тщательная обработка ошибок;Поддержка многопроцессорности;",no,1;2;,10,16,1
530,1,5,"Процессоры, основанные на RISC архитектуре",Семейство SuperSPARC компании Texas Instruments;Семейство MicroSPARC;Семейство hyperSPARC компании Ross Technology;Семейство микропроцессоров UltraSPARC;Intel Itanium;,no,1;2;3;4;,10,25,1
533,2,4,Структурная схема какого комплекса представлена на рисунке,Эльбрус 90-микро;МЦСТ-R 500S;МЦСТ-R150;UltraSPARC III;,эльбрус.bmp,1:100;2:0;3:0;4:0;,8,24,1
391,1,4,Тремя важнейшими атрибутами CMC являются:,стратегия синхронизации;стратегия коммутации;стратегия параллельного выполнения;стратегия управления;,no,1;2;4;,10,17,1
535,1,7,Структурная схема цифровой обработки аналогового сигнала Х(t) состоит из: ,аналого-цифрового преобразователя (АЦП);центрального процессора (ЦП);цифро-аналогового преобразователя (ЦАП);сглаживающего фильтра (СФ);входного комутатора;антиэлайсингового фильтра (АФ);выходного фильтра;,no,1;2;3;4;6;,10,26,1
393,3,0,"Промежуток времени, направленный на восстановление работоспособности, называется…",время восстановления;,no,0,8,17,1
394,2,4,Средний промежуток времени между отказами («наработка на отказ») вычисляется по формуле:,V = Pi *  Vi;To = L / Lo;V = Pi /  Vi;To = (L+ Lo) / Lo;,no,1:0;2:100;3:0;4:0;,6,13,1
543,4,5,В каком порядке должны выполняться следующие этапы решения задачи:,"Алгоритмизация.;Программирование, подготовка исходных текстов;Трансляция;Обработка;Анализ результатов;",no,12345,6,3,1
396,3,0,Какие языки программирования поддерживают потенциальный параллелизм задачи? ,параллельные;,no,0,5,17,1
397,2,4,В какой алгоритмической структуре в каждый момент времени исполняется только одна команда?,Последовательно групповая организация;Последовательная обработка;Векторно-конвейерная обработка;Матричная обработка;,no,1:0;2:100;3:0;4:0;,3,17,1
453,3,0,Как называется данная алгоритмическая структура?,последовательно групповая;последовательно-групповая;,посл групповая.bmp,0,6,2,0
454,2,5,Как называется данная алгоритмическая структура?,параллельная структура общего вида;последовательно групповая;последовательная;совокупность слабосвязанных потоков;сильносвязная структура;,савок слабосвяз.bmp,1:0;2:0;3:0;4:100;5:0;,5,2,0
383,2,4,Выберите алгоритмическую параллельную структуру общего вида:,а;б;в;г;,выберите общ структ.bmp,1:0;2:0;3:100;4:0;,5,2,0
549,1,4," Факторы, от которых зависит ускорение вычислений за счет опережающего просмотра:","степень параллелизма, заключенного в программе;наличие конвейерного процессора;наличие памяти с широким трактом доступа;способность устройства управления обнаруживать зависимости;",no,1;2;3;4;,10,30,1
402,3,0," При какой алгоритмической структуре вычислительные конструкции, образующие алгоритм, объединены в группы, а отношение следования состоит в том, что конструкции внутри группы могут выполняться одновременно, а сами группы последовательно? ",последовательно групповой;,no,0,15,17,1
403,1,4,"Факторы, ограничивающие максимальную скорость вычислений при последовательно групповой организации",Наличие скалярных операций;Вычисление адреса элементов данных для каждой команды;Наличие векторных команд;упорядочение выполнения операций в функциональных устройствах;,no,1;2;4;,10,13,1
550,3,0," Преобразование операций, выполняемых по ходу процесса решения задачи, из скалярной традиционной формы в векторную, называется…",векторизация;векторизацией;,no,0,10,24,1
388,2,5,Какая структура ВС изображена на рисунке?,Векторная;Векторно-конвейерная;Матричная;Конвейерная;Транспьютерная;,вект конв.bmp,1:0;2:100;3:0;4:0;5:0;,5,4,0
554,3,0,Этапы выполнения какой команды представлены на рисунке?,векторная;векторной;Векторной;,векторная ком.bmp,0,4,24,1
555,2,4,На каком рисунке изображена конвейеризация III уровня?,а;б;в;г;,конвейеризация III.bmp,1:0;2:100;3:0;4:0;,8,24,1
408,2,5,Пропускная способность конвейера определяется временем прохождения ...,самой медленной ступени;среднеарифметическим значением на всех ступенях;всех ступеней;самой медленной ступени + временем инициализации;половины ступеней конвейера;,no,1:100;2:0;3:0;4:0;5:0;,5,16,1
409,2,5, По данной формуле   вычисляется:,максимальная пропускная способность;минимальная пропускная способность;максимальная загрузка конвейера;максимальная длинна вектора;максимальный коэффициент ускорения;,пропуск спос.bmp,1:100;2:0;3:0;4:0;5:0;,5,17,1
410,2,5,  Какая схемы распределения данных в памяти изображена на рисунке?,последовательная;подматрица;с регулярной структурой;случайная;ассоциативная;,регул_структ.bmp,1:0;2:0;3:100;4:0;5:0;,5,18,1
411,1,3,Какие типы распределения памяти используются в векторно-конвейерных системах?,а;б;в;,послед структ.bmp,1;2;3;,10,17,1
412,2,5,"Вычислительные системы, ориентированные на алгоритмы, содержащие главным образом операции над упорядоченными наборами данных, называются ",Матричные системы;Векторная;Векторно-конвейерные;Суперскалярные системы;Распределённые системы;,no,1:25;2:100;3:25;4:0;5:0;,5,13,1
413,2,5,  Структура какого типа ВС изображена ниже?,Матричные системы;Векторно-конвейерная;Векторная;Систолическая;Транспьютерная;,матричн стукт.bmp,1:100;2:0;3:0;4:0;5:0;,4,5,0
563,3,0,"Коммутационная сеть, в которой любой ПЭ прямо связан с каждым из всех остальных ПЭ системы и все передачи могут выполняться синхронно, называется.. ",полносвязанная;Полносвязанная;,no,0,8,19,1
564,3,0,На рисунке изображён принцип ... обработки.,Систолическая;систолическая;систолической;,систолич.bmp,0,6,11,1
567,2,3, Какой рисунок относится к гексагональной конфигурации систолических матриц?,а;в;б;,гексагон.bmp,1:0;2:0;3:100;,2,32,1
417,3,0, Какая конфигурация систолических матриц  служит для реализации алгоритмов фильтрации при обработке сигналов сравнения цепочек литер при обработке баз данных?  ,линейная;Линейная;,no,0,5,17,1
418,2,5," Какая конфигурация систолических матриц  позволяет производить перемножение матриц, находить двумерное дискретное преобразование Фурье?",Гексагональная;Линейная;квадратная;Тороидальная;Полносвязная;,no,1:0;2:0;3:100;4:0;5:0;,5,6,0
570,2,4,"К какому типу протоколов относится следующий: каждый кэш, который содержит копию данных некоторого блока физической памяти, имеет также соответствующую копию служебной информации о его состоянии, централизованная система записей отсутствует:",на основе справочника;протоколы наблюдения;альтернативные;протоколы журнализации;,no,1:0;2:100;3:0;4:0;,5,14,1
